"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","47uf","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"2","C2, C3","2","24pf","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"3","C4, C5","2","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"4","C6","1","C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"5","C7","1","C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"6","C8","1","10uf","Capacitor_SMD:C_1210_3225Metric",""
"7","C9","1","68pf","Capacitor_SMD:C_0805_2012Metric",""
"8","C10, C11","2","2.7nf","Capacitor_SMD:C_0805_2012Metric",""
"9","C12, C13, C16, C17","4","1uf","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"10","C14, C15","2","1n","Capacitor_SMD:C_0805_2012Metric",""
"11","C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35","18","100nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"12","COLDRST1, RESET1","2","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"13","D1, D2, D4","3","FC2","LED_THT:LED_D3.0mm",""
"14","D3","1","D","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"15","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_4.3mm_M4_Pad_Via",""
"16","J1","1","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"17","J2","1","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"18","J3","1","UART1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"19","J4","1","UART2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"20","J5","1","Conn_02x20_Odd_Even","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical",""
"21","J6, J7, J8","3","Conn_02x30_Odd_Even_MountingPin","Connector_PinHeader_2.54mm:PinHeader_2x30_P2.54mm_Vertical",""
"22","J9, J21","2","Conn_01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"23","J10","1","ATX-20","Library:MOLEX_39281203",""
"24","J11","1","AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal",""
"25","J12","1","KBD","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"26","J13","1","MOUSE","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"27","J14, J15, J22","3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"28","J16","1","IO1","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"29","J17","1","IO4","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"30","J18","1","IO2","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
